Metric,ML,LLM
accuracy,0.7306122448979592,0.8693877551020408
precision,0.7121212121212122,0.8879310344827587
recall,0.7704918032786885,0.8442622950819673
f1_pos,0.7401574803149606,0.865546218487395
hsr,0.7216981132075472,0.8632075471698113
