K,Coherence
5,0.5601101208382044
6,0.5261684066820207
7,0.513883822018525
8,0.552855902635089
9,0.5350025172193874
10,0.5365816216845873
11,0.5299946052593724
12,0.5246643374450695
13,0.5178919181168641
14,0.5250309746963684
15,0.5266593164045638
