K,Calinski_Harabasz
5,45.33050924098629
6,41.25141938794428
7,38.41773382209492
8,35.10409705617845
9,32.25923815346655
10,30.180279424026104
11,28.411030200540573
12,26.631970657107487
13,25.299359563337397
14,23.801442024742343
15,22.76598759004648
